id;dept_id;work_type_id;formula;aw_formula;royalty_formula
1;29547;55447;copy Georgia invoice;1080p;Card Lithuanian
2;34383;75084;integrate interface Bike;bus Metal;Fresh
3;92277;64953;Baby Dollar;Licensed;RAM bandwidth next-generation
4;15481;31533;deposit;Ergonomic web-readiness;turn-key ivory Bedfordshire
5;35100;11349;SMTP Coordinator Massachusetts;Associate Bedfordshire;Markets compress
6;95785;26496;copying Market;Loti;productize haptic
7;74984;13949;azure Avon fuchsia;non-volatile HDD bus;Direct
8;89494;35366;Bacon deposit Indian;Pines;state Representative
9;3220;4355;high-level;Generic Swaziland;Pizza Bike
10;90755;27464;payment Garden;Bedfordshire orchid;world-class Mobility Florida
