id;param_name;param_table;param_field
1;Nepalese;Legacy;Falls Checking
2;engage Ranch;Customizable robust Ball;Baby robust RAM
3;Credit;Rubber SCSI;bypassing Avon Tunisia
4;cross-platform Loaf Movies;Avon invoice Virginia;Mouse Shoes withdrawal
5;distributed Product;Interface Kids;Usability National
6;Bike Response;whiteboard;Associate architectures Bike
7;upward-trending;copying;Fresh
8;Streamlined;Coordinator;Lead withdrawal Investor
9;Cotton portals;productivity silver Bedfordshire;Sleek Kingdom e-tailers
10;Consultant teal generate;Intelligent Gorgeous;Tactics Cambridgeshire
