id;work_estimate_id;cat_work_sor_item_id;material_master_id;nhwy_road_type_master_id;sub_estimate_id;quarry;lead_in_m;lead_in_km;lead_charges_m;lead_charges_km;initial_lead_required_yn
1;87431;9935;14832;17052;50176;intangible;9679;2163;22922;56352;false
2;13598;13749;13803;14045;90027;Clothing;2059;8141;89834;47219;true
3;57880;43813;90703;68693;50572;Research Steel Togo;4333;6759;89488;8021;false
4;29547;77700;16171;557;28876;Intranet;4149;4057;84342;50955;false
5;97049;12020;41429;70513;47018;Global;6275;6748;2024;61305;false
6;40313;38918;97609;52875;94726;Executive;9665;2967;53505;58560;false
7;8435;59711;55379;1582;76782;SCSI;367;5859;21482;9510;true
8;22096;9672;61232;46809;64162;multi-byte;1259;1238;27582;57531;false
9;53253;31784;61170;37295;94344;bandwidth Nebraska;3549;5609;52672;7552;false
10;1431;60811;26441;69676;53670;grey Program Triple-buffered;5179;2324;53794;67215;true
