id;work_estimate_id;cat_work_sor_item_id;material_master_id;nhwy_road_type_master_id;sub_estimate_id;quarry;lead_in_m;lead_in_km;lead_charges_m;lead_charges_km;initial_lead_required_yn
1;85042;96740;83870;30260;207;Loan Kip;9525;6715;45550;49229;false
2;34612;88976;55331;53361;34621;withdrawal;7587;1167;99338;40664;true
3;71154;66383;7175;76529;65880;system Functionality;1724;4338;4350;94059;true
4;18544;80490;33374;67425;80686;blue;4930;9713;30193;47910;true
5;52846;89186;39301;7335;88759;connecting Massachusetts bandwidth;3695;9300;99047;89429;false
6;75919;9323;6589;67459;56734;THX invoice;9426;5588;72610;38275;false
7;59702;92939;14688;64419;45099;Money array;8896;6998;48453;80525;true
8;7463;78156;70512;60509;88521;withdrawal global;1156;1629;8785;13328;true
9;70098;13161;52623;24780;10168;Vatu;9857;3720;95846;3414;false
10;40122;58087;95363;21200;78056;Iran;7260;1786;21798;27791;false
