id;work_estimate_id;area_weightage_master_id;area_weightage_circle_id;area_weightage_percentage;sor_financial_year;basic_rate;net_rate;floor_no;contractor_profit_percentage;overhead_percentage;tax_percentage;lift_charges;locality_allowance;employees_cost;contingencies;transportation_cost;service_tax;provident_fund_charges;esi_charges;idc_charges;watch_and_ward_cost;insurance_cost;statutory_charges;compensation_cost;ra_completed_yn
1;95997;21245;9418;93896;GB;78386;1850;67453;99;59;49;75201;68;56116;0;88;19;32;51;56;2;30;72664;44430;false
2;97629;66973;41723;17512;multi-byte Fish;21102;3912;33209;94;99;83;4742;64;9135;99;36;48;70;16;48;33;17;77862;46764;true
3;15431;8134;42126;9479;matrix Account transmit;53302;71068;14039;50;94;7;52870;87;50338;39;39;11;99;65;11;60;81;69086;60714;false
4;20639;93695;32545;96637;Steel project benchmark;61641;25527;91493;39;69;13;60985;67;43721;60;20;43;0;13;63;55;79;83655;63268;false
5;691;74754;33903;28702;Rest;49264;72315;67474;42;57;11;79549;91;74091;20;8;25;46;35;47;7;59;93906;67119;false
6;87479;23329;38448;85938;Paradigm invoice Fresh;29508;47202;63115;82;86;87;96364;37;57798;14;40;97;61;48;78;78;88;54205;22131;true
7;37389;38374;9832;90114;Cheese Rhode action-items;4691;36497;44895;6;69;76;64424;34;89604;92;53;18;26;85;82;13;2;40313;40223;false
8;34955;1307;85470;44286;RAM vertical;62230;38696;78222;65;75;16;27430;5;12736;32;12;77;75;11;28;85;12;28968;53429;false
9;72100;82479;86906;80941;Montana;35730;22861;17243;83;33;18;97960;43;18786;46;11;63;76;14;100;9;88;71475;75945;true
10;38479;39227;70094;22311;protocol index;26610;74317;93733;44;35;11;24445;1;62787;57;92;67;16;66;28;11;25;74626;6449;false
