id;work_estimate_id;cat_work_sor_item_id;material_master_id;sub_estimate_id;royalty_rate_master_id;sr_royalty_charges;prevailing_royalty_charges;density_factor;difference
1;94577;43471;95252;62879;36605;8919;46543204;81903;20309
2;16009;42153;30440;93833;19870;61960;22561486;66033;45802
3;97954;73376;95108;46372;94534;13799;10888997;16829;65751
4;51938;1798;30354;62926;95037;46814;34084052;47156;49630
5;76726;72513;82936;78163;80959;59123;13548256;6533;83604
6;99595;38413;36458;20994;3200;85829;24595789;21521;37803
7;98252;28784;64746;36726;96484;32237;16834357;35087;43131
8;47980;54315;19246;67098;6551;2135;98963395;10103;88772
9;96860;75762;30634;35524;49311;28271;18157148;36684;68195
10;31083;25157;6220;4736;18519;28786;97061669;65260;76706
