id;work_estimate_id;cat_work_sor_item_id;material_master_id;sub_estimate_id;royalty_rate_master_id;sr_royalty_charges;prevailing_royalty_charges;density_factor;difference
1;59839;14808;75476;12688;37646;39256;72895099;93513;3397
2;69916;10347;35199;45470;61537;83008;49170065;11664;496
3;63100;80193;51072;14935;78674;7882;49469609;2128;25187
4;83858;61306;48793;37137;57258;12391;30459952;35155;49524
5;69734;46423;25395;69663;75741;57033;16515608;3620;77249
6;8640;83990;5291;79521;83463;53228;9794128;89443;85304
7;35093;59943;589;82405;92868;12510;24837164;611;93861
8;16068;94677;24790;51138;24375;53516;5088556;91613;61740
9;46714;81916;23664;94219;4715;29872;67964265;77417;56267
10;73534;15987;78250;97465;86715;63811;72921581;38397;94430
